year,lgID,tmID,franchID,teamName,lat,long,conference,totalSeasons,pointPercent,playoffSeasons,playoffPercent,SCAppearances,StanleyCupWins,active,lastSeason,teamChange,teamChangeLat,teamChangeLong,nhlAffiliate,ahlAffiliate,echlAffiliate,UniqueID
1917,NHL,MTL,MTL,Montreal Canadiens,45.49611,-73.56944,Eastern,106,0.58,85,0.802,33,23,yes,2022,N/A,0.0,0.0,N/A,Laval Rocket,Trois-Rivieres Lions,1
1917,NHL,MTW,MTW,Montreal Wanderers,45.48,-73.59483,N/A,1,0.167,0,0.0,0,0,no,1917,N/A,0.0,0.0,N/A,N/A,N/A,2
1917,NHL,STE,STE,St. Louis Eagles,38.62667,-90.2025,N/A,18,0.514,10,0.556,4,4,no,1935,N/A,0.0,0.0,N/A,N/A,N/A,3
1917,NHL,TOR,TOR,Toronto Maple Leafs,43.64333,-79.37917,Eastern,106,0.518,72,0.679,21,13,yes,2022,N/A,0.0,0.0,N/A,Toronto Marlies,Newfoundland Growlers,4
1917,NHL,OTS,STE,Ottawa Senators,45.29694,-75.92722,N/A,17,0.534,0,0.0,0,0,moved,1934,St. Louis Eagles,38.62667,-90.2025,N/A,N/A,N/A,5
1917,NHL,TOA,TOR,Toronto Arenas,43.64333,-79.37917,N/A,2,0.45,0,0.0,0,0,moved,1919,Toronto St. Patricks,43.64333,-79.37917,N/A,N/A,N/A,6
1919,NHL,QUB,BKN,Quebec Bulldogs,46.49,-71.1351,N/A,1,0.167,0,0.0,0,0,moved,1920,Hamilton Tigers,43.1525,-79.5047,N/A,N/A,N/A,7
1919,NHL,BKN,BKN,Brooklyn Americans,40.75056,-73.99361,N/A,23,0.406,5,0.217,0,0,no,1942,N/A,0.0,0.0,N/A,N/A,N/A,8
1919,NHL,TRS,TOR,Toronto St. Patricks,43.64333,-79.37917,N/A,8,0.496,0,0.0,0,0,moved,1927,Toronto Maple Leafs,43.64333,-79.37917,N/A,N/A,N/A,9
1920,NHL,HAM,BKN,Hamilton Tigers,43.1525,-79.5047,N/A,5,0.377,0,0.0,0,0,moved,1925,New York Americans,40.75056,-73.99361,N/A,N/A,N/A,10
1924,NHL,BOS,BOS,Boston Bruins,42.3663,-71.06223,Eastern,99,0.568,76,0.768,20,6,yes,2022,N/A,0.0,0.0,N/A,Providence Bruins,Maine Mariners,11
1924,NHL,MTM,MTM,Montreal Maroons,45.49611,-73.56944,N/A,11,0.509,11,1.0,3,2,no,1935,N/A,0.0,0.0,N/A,N/A,N/A,12
1925,NHL,NYA,BKN,New York Americans,40.75056,-73.99361,N/A,16,0.409,0,0.0,0,0,moved,1941,Brooklyn Americans,40.75056,-73.99361,N/A,N/A,N/A,13
1925,NHL,PHQ,PHQ,Philadelphia Quakers,39.9579,-75.2117,N/A,6,0.33,2,0.333,0,0,no,1931,N/A,0.0,0.0,N/A,N/A,N/A,14
